Top250,MovieName,OtherName,Director,Year,Country,Type,Rating,EvaluationNum,quote
86,布达佩斯大饭店,布达佩斯大酒店(港)/欢迎来到布达佩斯大饭店(台),韦斯·安德森 Wes Anderson,2014,美国 德国 英国,剧情 喜剧 冒险,8.8,634996,小清新的故事里注入了大历史的情怀。
87,被嫌弃的松子的一生,花样奇缘(港)/令人讨厌的松子的一生(台),中岛哲也 Tetsuya Nakashima,2006,日本,剧情 歌舞,8.9,540022,以戏谑来戏谑戏谑。
88,阿凡达,天神下凡(港)/化身,詹姆斯·卡梅隆 James Cameron,2009,美国 英国,动作 科幻 冒险,8.7,956794,绝对意义上的美轮美奂。
89,摩登时代,The Masses/Les Temps modernes,查理·卓别林 Charles Chaplin,1936,美国,剧情 喜剧 爱情,9.3,200046,大时代中的人生，小人物的悲喜。
90,剪刀手爱德华,幻海奇缘(港)/剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,美国,剧情 奇幻 爱情,8.7,809241,浪漫忧郁的成人童话。
91,勇敢的心,惊世未了缘(港)/梅尔吉勃逊之英雄本色(台),梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争,8.9,446415,史诗大片的典范。
92,天使爱美丽,艾蜜莉的异想世界(台)/天使艾米莉,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,喜剧 爱情,8.7,773018,法式小清新。 
93,喜剧之王,King of Comedy,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,中国香港,喜剧 剧情 爱情,8.7,673405,我是一个演员。
94,致命ID,杀人游戏/致命身份,詹姆斯·曼高德 James Mangold,2003,美国,剧情 悬疑 惊悚,8.8,565794,最不可能的那个人永远是最可能的。
95,加勒比海盗,加勒比海盗1：黑珍珠号的诅咒/神鬼奇航：鬼盗船魔咒(台),戈尔·维宾斯基 Gore Verbinski,2003,美国,动作 冒险 奇幻,8.7,635839,约翰尼·德普的独角戏。
96,断背山,断臂山/BBM,李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,537801,每个人心中都有一座断背山。
97,杀人回忆,谋杀回忆/杀手回忆录,奉俊昊 Joon-ho Bong,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.8,467817,关于连环杀人悬案的集体回忆。
98,哈利·波特与死亡圣器(下),哈利波特7：死神的圣物2(港 / 台) ,大卫·叶茨 David Yates,2011,美国 英国,奇幻 冒险,8.8,536247,10年的完美句点。
99,狩猎,谎言的烙印(台)/诬网(港),托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,剧情,9.1,255038,人言可畏。
100,请以你的名字呼唤我,以你的名字呼唤我(港 / 台) ,卢卡·瓜达尼诺 Luca Guadagnino,2017,意大利 法国 巴西 美国 荷兰 德国,剧情 爱情 同性,8.9,454506,沉醉在电影的情感和视听氛围中无法自拔。
101,幽灵公主,魔法公主(台)/幽灵少女,宫崎骏 Hayao Miyazaki,1997,日本,动画 奇幻 冒险,8.9,395077,人与自然的战争史诗。
102,阳光灿烂的日子,In the Heat of the Sun,姜文 Wen Jiang,1994,中国大陆 中国香港,剧情 爱情,8.8,454329,一场华丽的意淫。
103,小森林 夏秋篇,小森食光 / 夏秋篇(台) ,森淳一 Junichi Mori,2014,日本,剧情,9.0,300920,那些静得只能听见呼吸的日子里，你明白孤独即生活。
104,重庆森林,Chungking Express,王家卫 Kar Wai Wong,1994,中国香港,剧情 爱情,8.7,573744,寂寞没有期限。
105,入殓师,礼仪师之奏鸣曲(港)/礼仪师(台),泷田洋二郎 Yôjirô Takita,2008,日本,剧情,8.8,450386,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
