省份,批次,科类,省控线,最高分,最低分,平均分,备注
新疆,本二批,文史,446,598,563,577,
新疆,本二批定向,理工,405,501,478,486,
新疆,本二批定向,文史,446,534,500,514,
新疆,预科批,理工,,482,438,451,
新疆,预科批,文史,,483,459,473,
云南,提前批航海类,理工,445,541,439,489,
云南,本一批,理工,525,556,518,534,
云南,本二批,理工,445,542,515,527,
云南,本二批,文史,500,606,569,579,
云南,预科批,理工,,503,478,489,
云南,预科批,文史,,542,530,535,
浙江,提前批航海类,理工,420,508,434,472,
浙江,本二批,理工,420,553,545,548,
浙江,本二批,文史,485,579,574,576,
浙江,艺术类,美术,文380/专65,603,562,572,按综合分出档，综合分录取
浙江,艺术类,音乐,文379/专50,517,498,505,按综合分出档，综合分录取
重庆,提前批航海类,理工类,455,518,465,486,
重庆,本二批,理工类,455,523,500,508,
重庆,本二批,文史类,507,596,552,565,
重庆,艺术类,音乐,文246/专209,224,220,223,
重庆,预科批,理工类,,467,456,462,
重庆,预科批,文史类,,502,499,500,
