省份,批次,科类,控制线,最高分,最低分,平均分,备注
安徽,提前批航海类,理工,511,569,515,534,
安徽,本一批,文史,597,632,620,626,
安徽,本一批,理工,555,608,591,596,
安徽,艺术类,艺术美术,文350/专165,721,709,714,按综合分出档，出档分793
安徽,艺术类,艺术音乐,文350/专100,182,173,176,按综合分出档，出档分738
北京,提前批航海类,理工,495,499,499,499,
北京,本二批,文史,527,544,525,535,
北京,本二批,理工,495,511,499,506,
北京,艺术类,艺术美术,文342/专190,535,498,519,
甘肃,提前批航海类,理工,417,479,425,445,
甘肃,本一批,文史,517,549,536,542,
甘肃,本一批,理工,475,516,505,510,
甘肃,本二批,文史,465,523,517,520,
甘肃,本二批,理工,417,498,466,473,
甘肃,艺术类,艺术美术,文270/专234,599,576,585,
广东,本二批,文科普通类,524,578,570,572,
广东,本二批,理科普通类,519,590,521,573,
广东,艺术类,艺术美术,文335/专224,559,556,557,
广东,艺术类,艺术音乐,文330/专207,384,238,311,
广西,提前批航海类,文理综合,320,460,321,382,
广西,专项计划,文史,530,542,530,536,
广西,专项计划,理工,480,476,471,474,
广西,本二批,文史,380,550,534,540,
广西,本二批,理工,320,534,408,484,
贵州,提前批航海类,理工,372,489,372,399,
贵州,专项计划,文史,543,569,566,568,
贵州,专项计划,理工,453,495,452,474,
贵州,本一批,文史,543,601,579,585,
贵州,本一批,理工,453,552,510,516,
贵州,本二批,文史,472,559,531,552,
贵州,本二批,理工,372,483,392,447,
海南,提前批航海类,理工,546,628,546,570,
海南,本一批,理工,608,647,618,630,
海南,本二批,文史,588,679,670,673,
海南,本二批,理工,546,625,604,614,
河北,提前批航海类,理工,474,558,476,511,
河北,专项计划,文史,548,571,571,571,
河北,专项计划,理工,544,581,561,568,
河北,本一批,文史,548,597,575,582,
河北,本一批,理工,544,592,567,575,
河北,艺术类,艺术美术,文308/专210,610,544,567,
河北,艺术类,艺术器乐,文308/专110,159,159,159,
河北,艺术类,艺术声乐,文308/专127,165,165,165,
河北,艺术类,艺术舞蹈,文308/专116,169,162,165,
河南,提前批航海类,理科综合,458,528,483,499,
河南,本一批,文科综合,513,551,534,539,
河南,本一批,理科综合,529,570,553,558,
河南,艺术类,艺术美术,文306/专155,586,485,559,
河南,艺术类,艺术器乐,文276/专80,154,150,152,
河南,艺术类,艺术声乐,文276/专80,143,139,141,
河南,艺术类,艺术舞蹈,文276/专80,143,121,133,
黑龙江,本二批,文史,410,540,513,523,
黑龙江,本二批,理工,371,527,503,509,
湖北,提前批航海类,理工类,448,526,432,466,
湖北,本二批,文史类,477,541,526,530,
湖北,本二批,理工类,448,547,513,522,
湖北,艺术类,艺术美术,文285/专183,546,489,518,按综合分出档，出档分612
湖南,提前批航海类,理工类,455,523,460,492,
湖南,专项计划,文史类,481,554,553,554,
湖南,专项计划,理工类,455,534,523,527,
湖南,本二批,文史类,481,553,540,544,
湖南,本二批,理工类,455,549,518,532,
湖南,艺术类,艺术美术,文312/专220,585,546,566,
湖南,艺术类,艺术音乐,文312/专219,247,242,244,
湖南,艺术类,艺术舞蹈,文312/专215,243,233,238,
吉林,提前批航海类,理工,405,526,457,497,
吉林,本二批,文史,433,551,535,542,
吉林,本二批,理工,405,530,415,498,
江苏,提前批航海类,理科,310,325,311,316,
江苏,本一批,理科,344,353,344,347,
江苏,本二批,文科,313,342,330,337,
江苏,本二批,理科,310,343,336,339,
江苏,艺术类,艺术美术,文240/专180,522,473,496,按综合分出档，出档分497
江西,提前批航海类,理工,490,542,514,527,
江西,专项计划,文史,528,550,535,543,
江西,专项计划,理工,540,541,536,538,
江西,本一批,文史,528,561,551,554,
江西,本一批,理工,540,583,567,572,
江西,本二批,文史,487,540,531,534,
江西,本二批,理工,490,557,542,547,
辽宁,提前批航海类,理工,419,517,428,457,
辽宁,本一批,文史,530,561,550,555,
辽宁,本一批,理工,500,548,530,537,
内蒙古,本一批,普通文科,487,535,526,530,
内蒙古,本一批,普通理科,464,508,486,501,
内蒙古,艺术类,艺术舞蹈,文238/专149,354,282,309,
宁夏,本二批,文史,478,523,516,518,
宁夏,本二批,理工,416,454,438,444,
青海,本二批,文史,420,505,470,482,
青海,本二批,理工,363,447,393,411,
青海,预科批,文史,,459,444,448,
青海,预科批,理工,,377,363,370,
山东,提前批航海类,理工类,490,578,500,537,
山东,本一批,文史类,568,603,587,592,
山东,本一批,理工类,562,605,593,597,
山东,本二批,文史类,510,577,575,576,
山东,本二批,理工类,490,573,558,565,
山东,艺术类,艺术美术,文332/专185,614,544,588,
山西,提前批航海类,理工,442,517,442,475,
山西,本一批,文史,513,532,515,525,
山西,本一批,理工,515,546,516,524,
山西,艺术类,艺术美术,文300/专200,544,532,538,
山西,艺术类,艺术音乐,文300/专68,86,84,85,
山西,艺术类,艺术舞蹈,文300/专63,69,68,69,
陕西,本二批,文史,467,512,511,511,
陕西,本二批,理工,440,508,482,490,
陕西,艺术类,艺术美术,文304/专195,522,452,481,
上海,本二批,文科,372,416,403,409,
上海,本二批,理科,348,399,365,374,
四川,提前批航海类,理工,445,548,454,495,
四川,专项计划,文史,543,574,569,572,
四川,专项计划,理工,528,540,534,536,
四川,本一批,文史,543,593,571,575,
四川,本一批,理工,528,581,555,564,
四川,艺术类,艺术美术,文380/专210,589,554,571,
四川,艺术类,艺术音乐,文320/专275,322,307,315,
四川,艺术类,艺术舞蹈,文305/专275,307,297,301,
四川,预科批,文史,,530,509,518,
四川,预科批,理工,,512,498,503,
天津,提前批航海类,理工,459,484,453,468,
天津,本二批,文史,486,538,506,526,
天津,本二批,理工,459,528,499,510,
西藏,本一批汉考汉,文史类,440,566,518,536,
西藏,本一批汉考汉,理工类,420,496,453,479,
西藏,本一批民考汉,文史类,325,372,345,360,
西藏,本一批民考汉,理工类,280,339,295,308,
新疆,单列计划,文史,414,507,491,500,
新疆,本二批定向,文史,414,502,479,489,
新疆,本二批定向,理工,381,475,460,467,
新疆,本二批,文史,414,540,521,531,
新疆,本二批,理工,381,492,469,475,
新疆,艺术类,艺术美术,文149/专180,535,496,516,
新疆,预科批,文史,,434,411,419,
新疆,预科批,理工,,393,354,370,
云南,提前批航海类,理工,425,516,426,458,
云南,专项计划,文史,540,571,559,565,
云南,专项计划,理工,500,535,516,524,
云南,本一批,理工,500,530,508,514,
云南,本二批,文史,470,588,544,558,
云南,本二批,理工,425,543,471,500,
云南,预科批,文史,,529,517,523,
云南,预科批,理工,,453,438,445,
浙江,提前批航海类,理工,428,538,429,484,
浙江,本二批,文史,472,576,573,574,
浙江,本二批,理工,428,560,548,551,
浙江,艺术类,艺术美术,文350/专65,561,552,556,按综合分出档，出档分551.99
浙江,艺术类,艺术音乐,文293/专50,500,492,496,按综合分出档，出档分491.99
浙江,艺术类,艺术舞蹈,文293/专45,460,460,460,按综合分出档，出档分459.99
重庆,提前批航海类,理工类,527,560,535,548,
重庆,专项计划,文史类,532,573,567,569,
重庆,专项计划,理工类,527,571,560,567,
重庆,本二批定向,文史类,532,580,543,561,
重庆,本二批定向,理工类,527,562,549,555,
重庆,本二批,文史类,532,580,576,578,
重庆,本二批,理工类,527,585,571,577,
重庆,艺术类,艺术器乐,文270/专208,241,241,241,
重庆,艺术类,艺术声乐,文270/专190,240,232,236,
重庆,预科批,文史类,,550,508,524,
重庆,预科批,理工类,,540,525,531,
