省份,批次,科类,省控线,录取人数,最高分,最低分,平均分
黑龙江,专项计划,理工,335,2,487,479,483
黑龙江,本二批,理工,335,16,510,484,493
黑龙江,本二批,文史,400,4,521,513,515
湖北,提前批航海类,理工,345,20,500,448,467
湖北,本二批,理工,345,36,540,472,497
湖北,本二批,文史,406,6,543,539,542
湖南,提前批航海类,理工,424,33,503,404,462
湖南,专项计划,理工,424,3,515,510,512
湖南,专项计划,文史,485,2,560,560,560
湖南,本二批,理工,424,33,538,472,510
湖南,本二批,文史,485,7,568,559,562
吉林,提前批航海类,理工,379,28,513,413,455
吉林,本二批,理工,379,14,520,492,502
吉林,本二批,文史,412,8,532,522,526
江苏,提前批航海类,理工,269,15,339,314,321
江苏,本一批,理工,331,52,350,336,338
江苏,本一批,文史,333,9,342,338,340
江西,提前批航海类,理工,422,40,507,461,484
江西,本一批,理工,503,28,560,548,551
江西,本一批,文史,533,12,581,577,578
江西,本二批,理工,422,42,530,502,516
江西,本二批,文史,458,4,545,541,543
辽宁,提前批航海类,理工,350,46,497,421,442
辽宁,本一批,理工,480,24,560,544,547
辽宁,本一批,文史,532,10,564,556,559
内蒙古,本一批,理工,466,13,531,497,510
内蒙古,本一批,文史,472,4,528,518,522
宁夏,本二批,理工,408,21,460,433,442
宁夏,本二批,文史,487,4,527,525,526
青海,本二批,理工,356,16,477,372,412
青海,本二批,文史,421,4,510,464,489
青海,预科批,理工,356,5,380,373,376
青海,预科批,文史,421,5,478,421,448
山东,提前批航海类,理工,433,45,547,435,471
山东,本科批,理工,433,43,593,563,569
山东,本科批,文史,483,16,582,567,570
山西,提前批航海类,理工,400,80,475,400,425
山西,本一批,理工,481,52,518,488,494
山西,本一批,文史,518,21,536,527,532
陕西,本二批,理工,397,12,485,457,467
陕西,本二批,文史,457,4,515,511,513
上海,提前批航海类,综合改革,402,2,420,414,417
上海,本科批,综合改革,402,48,484,446,462
四川,提前批航海类,理工,436,22,524,447,474
四川,专项计划,理工,511,6,565,546,554
四川,专项计划,文史,537,4,569,567,569
四川,本一批,理工,511,64,577,559,564
四川,本一批,文史,537,17,587,562,573
四川,预科批,理工,511,5,519,504,510
四川,预科批,文史,537,5,543,533,538
天津,提前批航海类,理工,395,15,489,414,434
天津,本二批,理工,395,17,530,495,505
天津,本二批,文史,401,8,530,516,519
西藏,本一批(汉考汉),理工,426,7,507,427,462
西藏,本一批(汉考汉),文史,441,1,474,474,474
西藏,本一批(民考汉),理工,296,13,333,302,314
西藏,本一批(民考汉),文史,353,7,404,371,381
新疆,专项计划,理工,333,5,458,393,422
新疆,专项计划,文史,375,7,486,474,479
新疆,本二批,理工,333,6,505,473,486
新疆,本二批,文史,375,4,518,514,516
新疆,本二批(定向),理工,333,7,463,455,459
新疆,本二批(定向),文史,375,8,498,481,492
新疆,预科批,理工,333,6,385,376,380
新疆,预科批,文史,375,23,437,411,422
新疆内地班,本二批(汉),理工,374,4,480,469,475
新疆内地班,本二批(民),理工,278,9,390,380,385
新疆内地班,本二批(民4年),理工,265,6,361,335,352
新疆内地班,本二批(汉),文史,351,1,400,400,400
新疆内地班,本二批(民),文史,320,1,410,410,410
新疆内地班,本二批(民4年),文史,309,1,372,372,372
云南,提前批航海类,理工,410,24,531,438,464
云南,专项计划,理工,500,7,536,508,524
云南,专项计划,文史,555,2,585,579,582
云南,本一批,理工,500,8,536,509,516
云南,本二批,理工,410,45,525,480,507
云南,本二批,文史,465,22,579,567,572
云南,预科批,理工,410,5,491,460,472
云南,预科批,文史,465,5,552,530,540
浙江,提前批航海类,综合改革,480,24,545,481,510
浙江,本科批,综合改革,480,24,588,572,581
重庆,提前批航海类,理工,395,16,501,428,460
重庆,专项计划,理工,395,5,504,492,497
重庆,专项计划,文史,436,2,540,537,539
重庆,本二批,理工,395,12,528,491,504
重庆,本二批,文史,436,6,538,527,531
重庆,本二批(定向),理工,395,2,470,423,447
重庆,本二批(定向),文史,436,4,535,523,526
重庆,预科批,理工,395,5,460,430,438
重庆,预科批,文史,436,5,496,476,482
