省份,批次,科类,省控线,录取人数,最高分,最低分,平均分
安徽,提前批航海类,理工,413,85,498,430,461
安徽,专项计划,理工,487,3,546,542,544
安徽,专项计划,文史,515,2,562,557,560
安徽,本一批,理工,487,60,566,529,546
安徽,本一批,文史,515,19,569,562,564
北京,提前批航海类,理工,439,2,511,476,494
北京,本二批,理工,439,3,517,510,513
北京,本二批,文史,468,3,531,525,528
福建,提前批航海类,理工,333,84,471,375,408
福建,师范类(面向全省),理工,441,89,507,468,478
福建,师范类(面向全省),文史,489,96,526,497,508
福建,师范类(面向厦门),理工,441,25,503,459,478
福建,师范类(面向厦门),文史,489,16,520,490,506
福建,农村专项计划,理工,441,160,526,461,480
福建,农村专项计划,文史,489,48,535,497,508
福建,本一批,理工,441,1422,532,441,482
福建,本一批,文史,489,366,547,508,518
福建,本一批(面向厦门),理工,441,155,537,462,476
福建,本一批(面向厦门),文史,489,52,538,499,510
福建,本一批(闽台合作),理工,441,60,480,443,451
福建,预科批,理工,441,50,464,414,430
福建,预科批,文史,489,40,496,444,465
甘肃,提前批航海类,理工,408,67,465,422,434
甘肃,本一批,理工,460,9,521,505,509
甘肃,本一批,文史,505,9,542,530,535
甘肃,本二批,理工,408,76,491,464,469
甘肃,本二批,文史,458,13,518,512,514
广东,本二批,理工,360,34,500,399,483
广东,本二批,文史,418,6,529,522,525
广西,提前批航海类,理工,318,35,467,335,389
广西,本二批,理工,318,157,501,422,479
广西,本二批,文史,387,26,575,543,552
贵州,提前批航海类,理工,361,79,464,361,395
贵州,专项计划,理工,456,10,527,494,508
贵州,专项计划,文史,545,5,599,586,592
贵州,本一批,理工,456,17,549,528,532
贵州,本一批,文史,545,11,610,602,604
贵州,本二批,理工,361,279,493,412,461
贵州,本二批,文史,453,27,588,563,569
海南,提前批航海类,理工,539,18,606,545,567
海南,本科A批,理工,539,18,645,622,632
海南,本科A批,文史,578,4,688,680,684
河北,提前批航海类,理工,326,60,494,401,440
河北,专项计划,理工,485,3,566,551,559
河北,本一批,理工,485,59,576,549,555
河北,本一批,文史,517,18,592,578,584
河南,提前批航海类,理工,342,90,521,403,445
河南,专项计划,理工,484,9,538,524,532
河南,专项计划,文史,516,5,558,536,548
河南,本一批,理工,484,117,553,531,543
河南,本一批,文史,516,21,572,559,563
黑龙江,提前批航海类,理工,335,18,502,433,452
