省份,批次,科类,省控线,最高分,最低分,平均分,备注
安徽,提前批国防生,理工,490,536,520,525,
安徽,提前批航海类,理工,429,522,449,470,
安徽,专项计划,理工,490,518,505,511,
安徽,专项计划,文史,540,557,555,556,
安徽,本一批,理工,490,537,518,521,
安徽,本一批,文史,540,568,563,564,
安徽,艺术类,美术文,文280/专170,343,313,332,按综合分出档专业分录取
安徽,艺术类,音乐文,文280/专85,172,159,164,按综合分出档专业分录取
北京,提前批航海类,理工,505,,,,无生源
北京,本二批,理工,505,536,512,527,
北京,本二批,文史,494,540,511,526,
北京,艺术类,美术文,文321/专200,256,250,253,按专业分录取
甘肃,提前批航海类,理工,430,488,444,460,
甘肃,专项计划,理工,489,,,,无生源
甘肃,专项计划,文史,503,522,501,507,
甘肃,本一批,理工,489,523,491,502,
甘肃,本一批,文史,503,527,503,510,
甘肃,本二批,理工,430,527,430,476,
甘肃,本二批,文史,451,512,482,499,
甘肃,艺术类,文理兼收,文265/专230,286,248,275,按专业分录取
广东,本二批,理工,516,575,532,562,
广东,本二批,文史,546,592,585,588,
广东,艺术类,音乐文,文320/专210,239,221,229,按专业分录取
广西,提前批航海类,理工,413,513,433,472,
广西,本二批,理工,413,533,455,515,
广西,本二批,文史,467,563,548,555,
贵州,提前批航海类,理工,360,454,360,394,
贵州,专项计划,理工,449,505,489,497,
贵州,专项计划,文史,522,557,547,552,
贵州,本一批,理工,449,511,488,496,
贵州,本一批,文史,522,567,547,553,
贵州,本二批,理工,360,492,386,448,
贵州,本二批,文史,446,536,523,528,
海南,提前批航海类,理工,541,633,572,590,
海南,本二批,理工,541,635,606,612,
海南,本二批,文史,590,684,672,676,
河北,提前批航海类,理工,478,543,479,507,
河北,专项计划,理工,538,550,538,543,
河北,专项计划,文史,561,568,564,566,
河北,本一批,理工,538,565,547,552,
河北,本一批,文史,561,586,581,583,
河北,本二批,理工,478,546,533,538,
河北,本二批,文史,511,576,564,568,
河北,艺术类,美术文,文311/专200,270,245,256,按专业分录取
河北,艺术类,器乐文,文280/专85,135,130,133,按专业分录取
河北,艺术类,声乐文,文280/专85,159,159,159,按专业分录取
河北,艺术类,舞蹈文,文280/专85,162,162,162,按专业分录取
河南,提前批航海类,理工,443,518,454,479,
河南,专项计划,理工,505,534,506,516,
河南,专项计划,文史,519,546,528,534,
河南,本一批,理工,505,555,523,527,
河南,本一批,文史,519,544,532,535,
河南,艺术类,美术文,文302/专185,291,231,268,按专业分录取
河南,艺术类,声乐文,文280/专85,151,146,149,按专业分录取
河南,艺术类,器乐文,文280/专85,147,142,145,按专业分录取
河南,艺术类,舞蹈文,文280/专85,141,130,137,按专业分录取
黑龙江,本二批,理工,437,549,524,532,
黑龙江,本二批,文史,424,524,502,510,
湖北,提前批国防生,理工,462,530,491,506,
湖北,提前批航海类,理工,462,530,462,491,
湖北,本二批,理工,462,561,518,529,
湖北,本二批,文史,480,543,531,535,
湖北,艺术类,美术文,文312/专190,260,198,233,按专业分录取
湖南,提前批国防生,理工,423,507,499,503,
湖南,提前批航海类,理工,423,522,430,463,
湖南,本二批,理工,423,524,496,502,
湖南,本二批,文史,502,577,564,568,
湖南,艺术类,美术文,文326/专150,267,260,263,按专业分录取
湖南,艺术类,音乐文,文326/专150,245,232,236,按专业分录取
湖南,艺术类,舞蹈文,文326/专150,229,221,226,按专业分录取
吉林,提前批航海类,理工,421,539,514,520,
吉林,本二批,理工,421,529,510,520,
吉林,本二批,文史,401,522,499,511,
江苏,提前批国防生,理工,312,341,335,337,
江苏,提前批航海类,理工,312,329,312,319,
江苏,本一批,理工,338,341,338,340,
江苏,本二批,理工,312,338,334,336,
江苏,本二批,文史,299,327,325,326,
江苏,艺术类,美术文,文230/专180,231,203,210,综合分投档，按专业分录取
江西,提前批国防生,理工,456,534,501,514,
江西,提前批航海类,理工,456,524,497,507,
江西,本一批,理工,517,555,537,541,
江西,本一批,文史,532,556,548,551,
江西,本二批,理工,456,535,519,524,
江西,本二批,文史,484,542,530,535,
辽宁,提前批航海类,理工,470,568,500,522,
辽宁,本二批,理工,470,556,528,539,
辽宁,本二批,文史,499,560,544,552,
内蒙古,本二批,理工,399,495,448,472,
内蒙古,本二批,文史,409,519,454,471,
内蒙古,艺术类,美术文,文240/专170,235,232,233,按专业分录取
宁夏,本二批,理工,417,473,442,451,
宁夏,本二批,文史,450,485,476,480,
青海,本二批,理工,340,443,371,388,
青海,本二批,文史,382,436,427,432,
青海,预科批,理工,340,367,338,354,
青海,预科批,文史,382,419,393,402,
山东,提前批航海类,理工,524,561,525,542,航海类参考军检线
山东,本二批,理工,471,602,557,565,
山东,本二批,文史,506,579,574,575,
山东,艺术类,美术文,文300/专180,289,281,285,按专业分录取
山西,提前批航海类,理工,440,486,442,462,
山西,专项计划,理工,493,508,483,494,
山西,专项计划,文史,507,539,516,525,
山西,本一批,理工,493,525,495,499,
山西,本一批,文史,507,532,510,521,
山西,艺术类,美术文,文298/专205,270,240,250,按专业分录取
山西,艺术类,音乐文,文298/专70,89,84,85,按专业分录取
陕西,本二批,理工,435,545,480,488,
陕西,本二批,文史,486,541,534,538,
陕西,艺术类,美术文,文316/专203,251,220,230,按专业分录取
上海,提前批航海类,理工,331,341,341,341,
上海,本二批,理科,331,394,353,363,
上海,本二批,文科,403,442,426,432,
四川,提前批航海类,理工,492,549,502,518,
四川,专项计划,理工,562,575,555,566,
四川,专项计划,文史,567,577,575,576,
四川,本一批,理工,562,598,569,575,
四川,本一批,文史,567,588,576,580,
四川,本二批,理工,492,565,556,560,
四川,本二批,文史,505,572,561,565,
四川,艺术类,美术文,文355/专210,257,239,248,按专业分录取
四川,艺术类,音乐文,文290/专270,350,328,339,按专业分录取
四川,艺术类,舞蹈文,文265/专240,295,286,291,按专业分录取
四川,预科批,理工,492,527,488,501,
四川,预科批,文史,505,513,483,497,
天津,提前批航海类,理工,436,491,417,448,
天津,本二批,理工,436,515,466,483,
天津,本二批,文史,474,532,512,521,
西藏,专项计划,理工,290,323,323,323,
西藏,专项计划,文史,310,311,311,311,
西藏,本一批汉考汉,理工,470,486,483,485,
西藏,本一批汉考汉,文史,480,496,495,496,
西藏,本一批民考汉,理工,290,332,291,310,
西藏,本一批民考汉,文史,310,348,320,335,
新疆,本二批,理工,378,470,440,458,
新疆,本二批,文史,394,478,474,476,
新疆,本二批定向,理工,378,443,417,431,
新疆,本二批定向,文史,394,497,402,451,
新疆,预科批,理工,378,463,422,432,
新疆,预科批,文史,394,440,386,402,
云南,提前批航海类,理工,425,504,426,455,
云南,本一批,理工,495,549,497,520,
云南,本二批,理工,425,517,492,503,
云南,本二批,文史,455,553,534,540,
云南,预科批,理工,425,475,441,454,
云南,预科批,文史,455,489,463,477,
浙江,提前批国防生,理工,438,576,554,564,
浙江,提前批航海类,理工,438,558,441,488,
浙江,本二批,理工,438,573,558,564,
浙江,本二批,文史,468,573,568,570,
浙江,艺术类,美术文,文369/专65,560,554,556,按综合分录取
浙江,艺术类,音乐文,文365/专50,525,487,499,按综合分录取
浙江,艺术类,舞蹈文,文365/专50,544,487,513,按综合分录取
重庆,提前批航海类,理工,462,528,469,495,
重庆,本二批,理工,462,518,488,504,
重庆,本二批,文史,499,575,561,564,
重庆,本二批定向,理工,462,517,488,503,
重庆,本二批定向,文史,499,562,523,545,
